Model,Preprocessing_Strategy,Epoch,Dev_F1_Score,Test_Accuracy,Test_F1_Score
bert-base-cased,raw,1,0.7063,0.7026,0.7014
bert-base-cased,raw,2,0.6855,0.6928,0.6922
bert-base-cased,cleaned,1,0.7046,0.7011,0.7021
bert-base-cased,cleaned,2,0.6938,0.6904,0.6873
twitter-roberta-base-sentiment-latest,raw,1,0.7455,0.7465,0.7435
twitter-roberta-base-sentiment-latest,raw,2,0.7589,0.7549,0.7546
twitter-roberta-base-sentiment-latest,cleaned,1,0.7389,0.7413,0.7378
twitter-roberta-base-sentiment-latest,cleaned,2,0.7359,0.7444,0.741
distilbert-base-uncased-finetuned-sst-2-english,raw,1,0.6744,0.6726,0.6659
distilbert-base-uncased-finetuned-sst-2-english,raw,2,0.6963,0.6966,0.6969
distilbert-base-uncased-finetuned-sst-2-english,cleaned,1,0.673,0.6789,0.674
distilbert-base-uncased-finetuned-sst-2-english,cleaned,2,0.6906,0.695,0.6955
albert-base-v2,raw,1,0.6893,0.6902,0.685
albert-base-v2,raw,2,0.6912,0.6921,0.6918
albert-base-v2,cleaned,1,0.7087,0.6935,0.6935
albert-base-v2,cleaned,2,0.6874,0.6902,0.6903
bertweet-base,raw,1,0.7274,0.7327,0.733
bertweet-base,raw,2,0.7161,0.7251,0.7275
bertweet-base,cleaned,1,0.7244,0.7272,0.7275
bertweet-base,cleaned,2,0.7101,0.7273,0.7281
