Model,Max_Sequence_Length,Epoch,Dev_F1_Score,Test_Accuracy,Test_F1_Score
bert-base-cased,64,1,0.6888,0.6963,0.6939
bert-base-cased,64,2,0.7044,0.6993,0.6993
bert-base-cased,128,1,0.7028,0.7083,0.7083
bert-base-cased,128,2,0.7012,0.7039,0.7036
twitter-roberta-base-sentiment-latest,64,1,0.7411,0.7378,0.7324
twitter-roberta-base-sentiment-latest,64,2,0.747,0.7508,0.7481
twitter-roberta-base-sentiment-latest,128,1,0.7419,0.7421,0.7381
twitter-roberta-base-sentiment-latest,128,2,0.7379,0.7479,0.7434
distilbert-base-uncased-finetuned-sst-2-english,64,1,0.6772,0.6782,0.6731
distilbert-base-uncased-finetuned-sst-2-english,64,2,0.7001,0.6999,0.6998
distilbert-base-uncased-finetuned-sst-2-english,128,1,0.6621,0.6767,0.67
distilbert-base-uncased-finetuned-sst-2-english,128,2,0.7015,0.6962,0.6962
albert-base-v2,64,1,0.6977,0.6884,0.6872
albert-base-v2,64,2,0.7041,0.6999,0.7
albert-base-v2,128,1,0.7006,0.6923,0.6896
albert-base-v2,128,2,0.697,0.6993,0.6991
bertweet-base,64,1,0.7352,0.7316,0.7315
bertweet-base,64,2,0.729,0.7323,0.7329
bertweet-base,128,1,0.73,0.732,0.7314
bertweet-base,128,2,0.7258,0.7378,0.7388
