Model,Learning_Rate,Optimizer,Epoch,Dev_F1_Score,Test_Accuracy,Test_F1_Score
bert-base-cased,2e-05,AdamW,1,0.6981,0.7061,0.7058
bert-base-cased,2e-05,AdamW,2,0.6939,0.7015,0.7017
bert-base-cased,2e-05,SGD,1,0.3779,0.4624,0.3725
bert-base-cased,2e-05,SGD,2,0.4608,0.5024,0.4578
bert-base-cased,5e-05,AdamW,1,0.663,0.6761,0.6705
bert-base-cased,5e-05,AdamW,2,0.6904,0.6872,0.6876
bert-base-cased,5e-05,SGD,1,0.4112,0.4965,0.4184
bert-base-cased,5e-05,SGD,2,0.5002,0.5562,0.5045
twitter-roberta-base-sentiment-latest,2e-05,AdamW,1,0.7463,0.7476,0.7449
twitter-roberta-base-sentiment-latest,2e-05,AdamW,2,0.7535,0.7558,0.7554
twitter-roberta-base-sentiment-latest,2e-05,SGD,1,0.7697,0.7814,0.7813
twitter-roberta-base-sentiment-latest,2e-05,SGD,2,0.7763,0.7854,0.7856
twitter-roberta-base-sentiment-latest,5e-05,AdamW,1,0.7106,0.7151,0.7084
twitter-roberta-base-sentiment-latest,5e-05,AdamW,2,0.7277,0.7235,0.7168
twitter-roberta-base-sentiment-latest,5e-05,SGD,1,0.7695,0.7769,0.7758
twitter-roberta-base-sentiment-latest,5e-05,SGD,2,0.7726,0.7789,0.779
distilbert-base-uncased-finetuned-sst-2-english,2e-05,AdamW,1,0.6713,0.6721,0.6656
distilbert-base-uncased-finetuned-sst-2-english,2e-05,AdamW,2,0.6924,0.6957,0.6961
distilbert-base-uncased-finetuned-sst-2-english,2e-05,SGD,1,0.503,0.5532,0.5022
distilbert-base-uncased-finetuned-sst-2-english,2e-05,SGD,2,0.571,0.578,0.5538
distilbert-base-uncased-finetuned-sst-2-english,5e-05,AdamW,1,0.6997,0.6931,0.6926
distilbert-base-uncased-finetuned-sst-2-english,5e-05,AdamW,2,0.6943,0.6949,0.6943
distilbert-base-uncased-finetuned-sst-2-english,5e-05,SGD,1,0.5979,0.6048,0.5931
distilbert-base-uncased-finetuned-sst-2-english,5e-05,SGD,2,0.6257,0.6303,0.6277
albert-base-v2,2e-05,AdamW,1,0.6845,0.6818,0.6804
albert-base-v2,2e-05,AdamW,2,0.6937,0.6941,0.6933
albert-base-v2,2e-05,SGD,1,0.2809,0.4467,0.2758
albert-base-v2,2e-05,SGD,2,0.2809,0.4467,0.2758
albert-base-v2,5e-05,AdamW,1,0.6402,0.6499,0.6433
albert-base-v2,5e-05,AdamW,2,0.6791,0.6923,0.6922
albert-base-v2,5e-05,SGD,1,0.6544,0.6646,0.6504
albert-base-v2,5e-05,SGD,2,0.6941,0.6923,0.6908
bertweet-base,2e-05,AdamW,1,0.7265,0.7318,0.7321
bertweet-base,2e-05,AdamW,2,0.7128,0.7171,0.7198
bertweet-base,2e-05,SGD,1,0.2809,0.4467,0.2758
bertweet-base,2e-05,SGD,2,0.2809,0.4467,0.2758
bertweet-base,5e-05,AdamW,1,0.7144,0.7239,0.724
bertweet-base,5e-05,AdamW,2,0.6134,0.6427,0.6212
bertweet-base,5e-05,SGD,1,0.2809,0.4465,0.2766
bertweet-base,5e-05,SGD,2,0.3158,0.4614,0.319
