Model,FineTune_Strategy,Epoch,Dev_F1_Score,Test_Accuracy,Test_F1_Score
bert-base-cased,full,1,0.7008,0.7029,0.7018
bert-base-cased,full,2,0.6859,0.6973,0.697
bert-base-cased,frozen_encoder,1,0.4434,0.5281,0.4582
bert-base-cased,frozen_encoder,2,0.517,0.562,0.5133
twitter-roberta-base-sentiment-latest,full,1,0.7483,0.7461,0.743
twitter-roberta-base-sentiment-latest,full,2,0.7578,0.7569,0.7563
twitter-roberta-base-sentiment-latest,frozen_encoder,1,0.7721,0.7823,0.782
twitter-roberta-base-sentiment-latest,frozen_encoder,2,0.772,0.7835,0.7831
distilbert-base-uncased-finetuned-sst-2-english,full,1,0.6705,0.6723,0.666
distilbert-base-uncased-finetuned-sst-2-english,full,2,0.6917,0.6968,0.6972
distilbert-base-uncased-finetuned-sst-2-english,frozen_encoder,1,0.6115,0.6171,0.6033
distilbert-base-uncased-finetuned-sst-2-english,frozen_encoder,2,0.6373,0.6441,0.6402
albert-base-v2,full,1,0.6969,0.6935,0.6909
albert-base-v2,full,2,0.695,0.6917,0.6916
albert-base-v2,frozen_encoder,1,0.5025,0.5561,0.5027
albert-base-v2,frozen_encoder,2,0.5597,0.5932,0.5677
bertweet-base,full,1,0.7349,0.7309,0.7314
bertweet-base,full,2,0.7083,0.7155,0.7184
bertweet-base,frozen_encoder,1,0.4929,0.5503,0.5026
bertweet-base,frozen_encoder,2,0.3596,0.4905,0.3746
